"","Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","WPA","cWPA","RE24","Year","EV","HardH%"
"488","Cleveland Indians",".243",".304",".407",".711",".291","3.1%","23.2%","7.6%","26.9%","46.8%","19.6%","0.90","11.3","8.3%","86.3",2016,"88.9","38.7%"
"489","Colorado Rockies",".274",".345",".446",".790",".321","2.9%","19.5%","8.7%","26.6%","48.7%","17.7%","0.99","-11.4","-3.6%","-96.4",2016,"88.5","40.4%"
"490","Detroit Tigers",".260",".320",".421",".741",".302","3.0%","20.4%","7.6%","23.1%","44.0%","22.2%","0.81","3.0","0.3%","1.4",2016,"88.7","39.1%"
"491","Houston Astros",".256",".314",".424",".737",".308","2.9%","22.6%","7.3%","25.1%","45.4%","22.2%","0.85","5.8","2.0%","20.5",2016,"88.4","38.1%"
"492","Kansas City Royals",".259",".327",".423",".750",".301","3.3%","20.8%","8.4%","23.2%","43.9%","24.3%","0.81","4.8","2.0%","25.6",2016,"89.4","40.7%"
"493","Los Angeles Angels",".269",".334",".440",".774",".303","3.4%","18.6%","8.1%","25.7%","41.1%","23.6%","0.71","-7.0","-2.0%","-29.0",2016,"89.2","39.8%"
"494","Los Angeles Dodgers",".233",".298",".375",".674",".291","2.7%","25.1%","7.7%","26.3%","42.3%","21.9%","0.76","8.5","6.2%","72.9",2016,"87.6","35.2%"
"495","Miami Marlins",".251",".329",".394",".724",".307","2.5%","22.4%","9.7%","27.8%","43.0%","20.5%","0.78","0.0","0.0%","3.2",2016,"88.7","38.2%"
"496","Milwaukee Brewers",".263",".333",".426",".760",".303","2.9%","19.0%","8.6%","26.3%","45.9%","19.4%","0.88","1.2","-0.8%","-18.3",2016,"88.3","38.2%"
"497","Minnesota Twins",".283",".340",".466",".806",".320","3.5%","18.9%","7.6%","26.1%","42.8%","23.1%","0.77","-13.3","-1.6%","-156.3",2016,"89.9","42.5%"
"498","New York Mets",".254",".311",".395",".706",".312","2.5%","23.0%","7.2%","26.7%","43.8%","20.7%","0.82","11.8","7.4%","85.2",2016,"88.7","38.5%"
"499","New York Yankees",".248",".310",".424",".734",".294","3.6%","23.1%","7.4%","23.7%","46.7%","21.4%","0.90","6.3","2.3%","35.5",2016,"88.8","39.8%"
"500","Oakland Athletics",".263",".322",".422",".744",".301","3.0%","19.3%","7.6%","25.7%","46.2%","19.7%","0.88","-6.3","-1.1%","-53.0",2016,"89.3","40.7%"
"501","Philadelphia Phillies",".265",".325",".448",".773",".307","3.5%","21.1%","7.6%","28.5%","40.9%","21.1%","0.72","-2.3","1.4%","-90.2",2016,"88.9","38.7%"
"502","Pittsburgh Pirates",".267",".336",".436",".772",".311","2.9%","19.6%","8.5%","25.7%","46.3%","19.2%","0.91","-2.8","-1.1%","-42.4",2016,"88.3","37.5%"
"503","San Diego Padres",".258",".330",".422",".753",".298","2.9%","19.6%","9.1%","25.0%","46.3%","20.5%","0.89","-4.5","0.5%","-73.3",2016,"89.4","41.3%"
"504","Seattle Mariners",".253",".314",".425",".739",".294","3.5%","21.4%","7.5%","25.7%","43.3%","22.0%","0.78","2.9","-0.8%","11.7",2016,"89.0","38.7%"
"505","San Francisco Giants",".243",".303",".392",".695",".290","2.6%","21.6%","7.3%","25.6%","44.7%","20.5%","0.84","9.3","8.9%","79.0",2016,"88.8","38.0%"
"506","St. Louis Cardinals",".258",".320",".402",".722",".307","2.6%","20.9%","7.7%","25.4%","49.0%","18.3%","1.00","-1.5","-1.1%","-4.0",2016,"87.8","36.0%"
"507","Tampa Bay Rays",".255",".318",".416",".734",".300","3.5%","22.3%","8.1%","23.7%","41.2%","25.4%","0.71","-4.0","-0.8%","-2.4",2016,"89.7","40.4%"
"508","Texas Rangers",".260",".329",".424",".753",".293","3.3%","18.7%","8.6%","25.4%","45.3%","21.7%","0.85","4.6","5.1%","-6.9",2016,"88.7","39.0%"
"509","Toronto Blue Jays",".242",".305",".398",".703",".283","3.0%","21.5%","7.5%","23.6%","46.5%","20.9%","0.89","9.5","7.7%","79.2",2016,"89.5","41.4%"
"510","Washington Nationals",".234",".300",".376",".677",".292","2.6%","24.5%","7.8%","26.5%","43.1%","20.5%","0.79","9.7","6.6%","117.2",2016,"88.3","36.7%"
"511","Arizona Diamondbacks",".240",".309",".398",".707",".297","2.8%","24.4%","8.5%","23.4%","47.9%","20.9%","0.95","11.8","6.7%","113.1",2017,"88.2","39.6%"
"512","Atlanta Braves",".263",".339",".438",".777",".306","3.0%","20.0%","9.3%","25.4%","43.8%","22.6%","0.81","-7.1","-2.6%","-84.7",2017,"87.5","36.9%"
"513","Baltimore Orioles",".269",".342",".458",".799",".303","3.9%","19.6%","9.2%","25.4%","44.2%","21.8%","0.81","-3.9","-1.8%","-91.7",2017,"88.3","40.0%"
"514","Boston Red Sox",".245",".306",".406",".712",".304","3.1%","25.4%","7.5%","25.1%","41.4%","24.8%","0.72","14.4","10.9%","132.2",2017,"87.7","37.2%"
"515","Chicago Cubs",".238",".315",".398",".713",".288","3.2%","23.6%","9.1%","26.4%","45.8%","20.3%","0.87","9.2","7.8%","62.7",2017,"86.9","36.3%"
"516","Chicago White Sox",".254",".337",".450",".787",".282","3.9%","19.2%","10.2%","25.3%","42.1%","24.6%","0.74","-7.3","-1.6%","-80.4",2017,"88.2","38.6%"
"517","Cincinnati Reds",".263",".345",".465",".810",".300","4.0%","20.7%","10.0%","24.2%","44.2%","23.3%","0.83","-7.0","-2.2%","-126.1",2017,"87.3","36.1%"
"518","Cleveland Indians",".236",".294",".380",".673",".305","2.8%","27.5%","6.9%","27.7%","44.1%","20.1%","0.81","22.3","12.0%","218.4",2017,"87.3","36.6%"
"519","Colorado Rockies",".264",".332",".439",".771",".309","3.1%","20.6%","8.6%","24.8%","47.9%","19.9%","0.95","8.5","7.0%","47.0",2017,"87.1","37.4%"
"520","Detroit Tigers",".282",".348",".463",".811",".321","3.5%","19.1%","8.5%","26.8%","39.6%","24.2%","0.67","-10.6","-2.8%","-139.6",2017,"88.2","38.3%"
"521","Houston Astros",".240",".313",".407",".720",".302","3.1%","26.1%","8.5%","24.6%","46.8%","20.8%","0.90","6.4","4.3%","36.6",2017,"87.0","37.5%"
"522","Kansas City Royals",".265",".331",".434",".765",".305","3.2%","19.6%","8.4%","24.0%","43.6%","23.9%","0.79","1.5","-1.7%","-34.4",2017,"87.8","37.7%"
"523","Los Angeles Angels",".251",".314",".429",".744",".291","3.7%","21.8%","7.8%","25.4%","41.5%","24.7%","0.72","0.1","-0.8%","34.1",2017,"88.6","40.1%"
"524","Los Angeles Dodgers",".228",".290",".380",".671",".284","3.1%","26.1%","7.5%","25.4%","42.5%","22.0%","0.77","16.2","8.0%","156.9",2017,"86.3","32.5%"
"525","Miami Marlins",".263",".344",".432",".776",".302","3.1%","19.0%","9.9%","25.6%","42.0%","23.2%","0.75","-8.4","-2.3%","-115.3",2017,"87.6","37.2%"
"526","Milwaukee Brewers",".252",".326",".414",".741",".301","3.0%","21.8%","9.0%","25.2%","45.3%","20.1%","0.86","5.6","4.8%","54.8",2017,"86.2","34.2%"
"527","Minnesota Twins",".266",".330",".446",".776",".298","3.6%","18.8%","7.8%","25.3%","42.5%","24.0%","0.75","-1.2","-2.6%","-31.3",2017,"88.1","38.0%"
"528","New York Mets",".273",".345",".448",".794",".322","3.5%","21.5%","9.3%","24.8%","43.8%","23.0%","0.81","-8.9","-2.3%","-150.0",2017,"87.0","35.7%"
"529","New York Yankees",".228",".298",".382",".680",".282","3.2%","25.7%","8.3%","24.5%","45.9%","21.5%","0.87","7.3","4.8%","114.7",2017,"87.3","37.2%"
"530","Oakland Athletics",".261",".327",".439",".765",".296","3.4%","19.5%","8.1%","25.5%","44.6%","22.1%","0.82","-10.9","-1.8%","-94.2",2017,"88.4","39.2%"
"531","Philadelphia Phillies",".265",".333",".447",".780",".307","3.5%","21.0%","8.5%","25.4%","42.4%","22.6%","0.76","-6.4","-2.2%","-48.6",2017,"87.3","36.7%"
"532","Pittsburgh Pirates",".264",".330",".431",".761",".310","2.9%","20.3%","8.2%","25.9%","44.5%","20.8%","0.84","-0.9","-1.3%","3.8",2017,"87.3","37.4%"
"533","San Diego Padres",".259",".333",".441",".775",".301","3.7%","21.5%","9.0%","23.2%","47.0%","22.2%","0.92","-3.1","-1.1%","-88.5",2017,"87.7","37.7%"
"534","Seattle Mariners",".254",".318",".435",".754",".285","3.9%","20.3%","8.0%","25.0%","40.4%","24.8%","0.69","-4.2","-2.6%","-30.9",2017,"88.4","38.9%"
"535","San Francisco Giants",".268",".331",".438",".768",".312","2.9%","19.6%","7.9%","26.9%","42.2%","21.7%","0.76","-2.7","-0.2%","-30.8",2017,"87.9","37.7%"
"536","St. Louis Cardinals",".253",".320",".411",".731",".301","3.0%","22.0%","8.0%","25.3%","46.1%","20.9%","0.89","4.4","0.7%","37.7",2017,"86.9","34.9%"
"537","Tampa Bay Rays",".242",".309",".403",".711",".285","3.2%","22.2%","8.3%","24.7%","42.8%","22.8%","0.77","4.3","0.8%","40.9",2017,"87.9","37.9%"
"538","Texas Rangers",".261",".335",".434",".769",".290","3.5%","17.8%","9.0%","25.3%","44.2%","21.7%","0.80","-1.4","-1.5%","-30.8",2017,"86.9","35.4%"
"539","Toronto Blue Jays",".258",".326",".429",".756",".304","3.2%","21.7%","8.7%","23.9%","45.3%","21.8%","0.84","3.0","-0.7%","-9.6",2017,"87.4","37.5%"
"540","Washington Nationals",".239",".308",".396",".703",".290","3.1%","24.0%","8.2%","23.7%","43.5%","22.9%","0.80","12.6","3.4%","81.3",2017,"87.0","35.0%"
"541","Arizona Diamondbacks",".239",".310",".388",".698",".292","2.8%","23.6%","8.5%","24.2%","47.2%","21.6%","0.92","3.5","1.6%","80.6",2018,"89.6","41.1%"
"542","Atlanta Braves",".229",".314",".370",".684",".281","2.5%","23.1%","10.3%","25.8%","43.0%","22.7%","0.78","6.5","5.7%","50.7",2018,"88.5","37.5%"
"543","Baltimore Orioles",".276",".349",".471",".820",".312","3.7%","19.0%","9.3%","26.0%","42.1%","23.3%","0.74","-14.8","-1.0%","-172.4",2018,"88.9","39.8%"
"544","Boston Red Sox",".237",".309",".390",".698",".295","2.9%","25.3%","8.3%","24.7%","42.6%","24.0%","0.76","12.0","7.4%","106.0",2018,"88.8","37.8%"
"545","Chicago Cubs",".240",".323",".376",".698",".287","2.5%","21.3%","9.9%","25.7%","44.4%","21.6%","0.83","13.2","12.0%","78.9",2018,"88.2","37.9%"
"546","Chicago White Sox",".254",".340",".422",".761",".293","3.1%","19.9%","10.3%","24.8%","40.8%","24.8%","0.70","-9.8","-2.1%","-123.2",2018,"88.9","39.1%"
"547","Cincinnati Reds",".266",".332",".450",".782",".303","3.6%","20.0%","8.5%","25.1%","44.1%","22.2%","0.82","-7.5","-1.2%","-114.0",2018,"89.0","40.1%"
"548","Cleveland Indians",".242",".300",".414",".714",".299","3.3%","25.4%","6.7%","24.7%","42.8%","24.4%","0.76","10.9","4.8%","104.1",2018,"88.6","37.7%"
"549","Colorado Rockies",".250",".319",".417",".736",".302","3.0%","22.9%","8.5%","25.7%","45.1%","21.2%","0.84","3.6","4.5%","14.4",2018,"88.7","38.4%"
"550","Detroit Tigers",".258",".323",".439",".762",".292","3.5%","19.8%","8.0%","25.0%","39.9%","25.5%","0.68","-6.1","-0.6%","-59.1",2018,"88.9","39.8%"
"551","Houston Astros",".217",".282",".358",".640",".284","2.6%","28.5%","7.4%","24.9%","44.3%","22.8%","0.81","18.8","11.8%","203.9",2018,"88.0","36.1%"
"552","Kansas City Royals",".275",".342",".446",".788",".311","3.3%","18.4%","8.7%","25.8%","42.9%","23.1%","0.77","-8.8","-1.6%","-107.7",2018,"89.5","41.1%"
"553","Los Angeles Angels",".248",".322",".415",".738",".295","3.4%","22.7%","8.9%","26.1%","42.5%","22.7%","0.75","-0.6","0.3%","0.8",2018,"89.4","41.2%"
"554","Los Angeles Dodgers",".230",".290",".379",".669",".286","2.9%","25.7%","6.9%","24.0%","44.8%","21.8%","0.84","8.2","11.9%","98.3",2018,"87.9","36.3%"
"555","Miami Marlins",".254",".333",".424",".757",".293","3.1%","20.0%","9.7%","25.1%","40.6%","24.7%","0.70","-7.0","-1.2%","-133.3",2018,"89.1","40.3%"
"556","Milwaukee Brewers",".233",".309",".387",".696",".282","2.8%","23.4%","9.0%","25.6%","42.6%","21.2%","0.77","7.2","9.3%","55.5",2018,"88.1","38.0%"
"557","Minnesota Twins",".256",".332",".423",".755",".304","3.2%","21.9%","9.1%","25.7%","41.5%","23.7%","0.73","-2.3","-0.6%","-36.4",2018,"88.8","40.9%"
"558","New York Mets",".246",".313",".398",".711",".298","3.0%","23.4%","7.8%","24.1%","41.7%","24.2%","0.74","3.3","-1.1%","-30.5",2018,"87.6","35.4%"
"559","New York Yankees",".237",".304",".390",".694",".302","2.9%","26.6%","8.0%","24.6%","43.4%","23.4%","0.78","8.6","4.5%","70.2",2018,"88.3","37.9%"
"560","Oakland Athletics",".236",".301",".392",".693",".271","3.0%","20.3%","7.8%","24.6%","43.0%","23.3%","0.78","12.2","8.1%","61.3",2018,"88.4","38.7%"
"561","Philadelphia Phillies",".249",".316",".407",".723",".306","2.8%","23.9%","8.2%","24.2%","44.9%","21.5%","0.85","4.6","3.8%","-23.5",2018,"88.0","37.0%"
"562","Pittsburgh Pirates",".251",".319",".407",".726",".299","2.8%","21.7%","8.1%","25.2%","43.4%","23.0%","0.79","2.5","-1.3%","-9.7",2018,"88.9","39.1%"
"563","San Diego Padres",".256",".324",".417",".742",".308","3.0%","22.4%","8.3%","25.6%","44.0%","22.1%","0.81","-5.3","-1.0%","-82.9",2018,"88.8","39.7%"
"564","Seattle Mariners",".252",".308",".418",".726",".296","3.2%","21.9%","6.6%","24.9%","42.6%","24.6%","0.75","6.7","4.2%","5.5",2018,"89.1","40.1%"
"565","San Francisco Giants",".251",".318",".404",".722",".297","2.5%","20.5%","8.5%","25.6%","44.0%","21.2%","0.81","0.8","0.4%","-15.8",2018,"88.8","38.8%"
"566","St. Louis Cardinals",".246",".324",".378",".702",".297","2.3%","21.3%","9.5%","25.8%","44.3%","21.0%","0.83","0.4","-0.1%","2.3",2018,"87.6","36.1%"
"567","Tampa Bay Rays",".230",".300",".377",".677",".279","2.7%","23.7%","8.4%","23.8%","43.8%","24.1%","0.79","12.3","1.9%","75.3",2018,"88.7","38.6%"
"568","Texas Rangers",".271",".335",".464",".798",".301","3.6%","18.0%","7.9%","25.5%","43.5%","23.2%","0.78","-6.8","-1.0%","-89.4",2018,"89.3","41.5%"
"569","Toronto Blue Jays",".265",".335",".446",".782",".308","3.3%","20.7%","8.8%","23.7%","42.7%","24.5%","0.76","-7.2","-1.2%","-110.2",2018,"88.7","39.4%"
"570","Washington Nationals",".242",".311",".411",".721",".289","3.3%","23.3%","8.0%","23.7%","41.3%","24.8%","0.72","2.9","2.1%","34.7",2018,"88.1","37.5%"
"571","Arizona Diamondbacks",".251",".320",".432",".752",".298","3.5%","22.9%","8.3%","25.7%","42.8%","23.3%","0.77","5.8","1.1%","36.0",2019,"89.2","41.5%"
"572","Atlanta Braves",".256",".329",".419",".748",".305","3.3%","22.3%","8.8%","25.2%","44.7%","22.1%","0.84","8.7","4.3%","46.2",2019,"89.2","41.1%"
"573","Baltimore Orioles",".271",".342",".497",".839",".296","4.8%","19.5%","8.8%","25.8%","40.4%","25.6%","0.68","-15.6","-0.9%","-184.9",2019,"89.8","42.1%"
"574","Boston Red Sox",".251",".330",".431",".761",".314","3.4%","25.5%","9.5%","24.9%","42.7%","24.5%","0.76","1.7","-0.5%","0.3",2019,"88.8","39.1%"
"575","Chicago Cubs",".251",".323",".414",".738",".303","3.2%","23.3%","8.6%","26.0%","45.3%","21.2%","0.85","1.3","1.3%","44.7",2019,"89.0","40.5%"
"576","Chicago White Sox",".263",".337",".452",".789",".303","3.9%","21.3%","9.5%","26.2%","42.6%","22.5%","0.76","-4.1","-1.6%","-61.3",2019,"89.2","40.7%"
"577","Cincinnati Reds",".235",".310",".410",".719",".289","3.5%","25.6%","8.9%","24.0%","44.0%","23.7%","0.81","7.4","1.5%","65.4",2019,"88.3","37.4%"
"578","Cleveland Indians",".240",".304",".419",".723",".293","3.5%","25.1%","7.5%","25.8%","39.8%","25.5%","0.67","14.4","11.6%","148.4",2019,"89.0","40.6%"
"579","Colorado Rockies",".277",".348",".492",".840",".311","4.2%","19.7%","9.2%","25.8%","45.7%","21.8%","0.87","-7.9","-2.5%","-135.8",2019,"90.1","43.6%"
"580","Detroit Tigers",".275",".342",".478",".820",".319","3.9%","21.6%","8.5%","24.5%","42.5%","24.6%","0.76","-12.0","0.2%","-122.6",2019,"89.9","42.1%"
"581","Houston Astros",".221",".283",".397",".681",".272","3.8%","27.9%","7.5%","23.7%","43.5%","25.0%","0.78","19.4","9.7%","179.3",2019,"88.5","38.5%"
"582","Kansas City Royals",".273",".348",".456",".804",".312","3.5%","19.5%","9.2%","25.9%","43.8%","23.4%","0.79","-9.5","-1.7%","-77.7",2019,"90.2","43.0%"
"583","Los Angeles Angels",".254",".331",".459",".789",".291","4.3%","22.3%","9.2%","25.9%","40.5%","25.3%","0.69","-3.3","-0.9%","-73.1",2019,"89.3","40.5%"
"584","Los Angeles Dodgers",".223",".282",".379",".661",".273","3.1%","25.7%","6.6%","24.1%","44.2%","22.3%","0.82","13.2","5.4%","144.1",2019,"87.6","35.9%"
"585","Miami Marlins",".245",".329",".435",".764",".283","3.8%","22.1%","9.8%","24.3%","38.3%","27.0%","0.64","-6.5","-0.2%","-64.7",2019,"88.8","39.5%"
"586","Milwaukee Brewers",".246",".321",".425",".747",".296","3.6%","24.0%","9.1%","25.2%","41.8%","23.0%","0.74","6.8","4.5%","11.8",2019,"88.1","38.4%"
"587","Minnesota Twins",".257",".316",".419",".736",".311","3.2%","23.4%","7.2%","25.9%","41.5%","23.8%","0.73","9.9","5.6%","48.1",2019,"88.6","39.0%"
"588","New York Mets",".251",".317",".418",".735",".307","3.3%","24.4%","8.0%","24.8%","42.8%","23.8%","0.77","1.4","-1.2%","7.4",2019,"87.8","37.1%"
"589","New York Yankees",".248",".314",".439",".754",".297","4.0%","25.0%","8.3%","24.1%","42.5%","24.7%","0.74","8.5","4.8%","46.0",2019,"88.9","40.3%"
"590","Oakland Athletics",".242",".308",".404",".712",".279","3.3%","21.1%","7.8%","24.2%","41.1%","23.9%","0.71","9.1","5.2%","103.9",2019,"88.5","39.0%"
"591","Philadelphia Phillies",".261",".332",".453",".785",".301","4.1%","22.2%","8.7%","25.7%","42.7%","23.3%","0.77","1.7","-0.1%","-20.3",2019,"88.8","39.5%"
"592","Pittsburgh Pirates",".268",".343",".470",".813",".318","3.8%","22.6%","9.1%","25.4%","41.7%","24.1%","0.74","-11.6","-3.3%","-155.6",2019,"89.0","40.5%"
"593","San Diego Padres",".251",".315",".430",".744",".303","3.5%","23.9%","7.5%","24.6%","42.7%","24.6%","0.77","-0.7","0.9%","-51.5",2019,"88.6","39.3%"
"594","Seattle Mariners",".263",".326",".469",".795",".291","4.2%","19.8%","8.1%","25.2%","43.6%","23.4%","0.78","-9.8","-2.7%","-124.6",2019,"89.8","41.7%"
"595","San Francisco Giants",".249",".318",".428",".746",".289","3.6%","21.9%","8.3%","24.7%","41.6%","24.5%","0.74","7.2","1.7%","-12.7",2019,"89.7","41.6%"
"596","St. Louis Cardinals",".238",".314",".397",".711",".285","3.2%","23.1%","9.0%","24.9%","44.9%","22.0%","0.83","9.5","8.2%","88.5",2019,"88.5","38.4%"
"597","Tampa Bay Rays",".230",".294",".386",".680",".291","3.0%","26.6%","7.4%","24.6%","43.6%","22.2%","0.79","17.1","13.4%","138.2",2019,"88.2","37.1%"
"598","Texas Rangers",".269",".342",".464",".806",".314","3.8%","21.7%","9.2%","25.3%","41.7%","24.7%","0.73","0.8","0.4%","-47.8",2019,"89.0","40.1%"
"599","Toronto Blue Jays",".259",".337",".451",".788",".301","3.6%","21.1%","9.6%","25.0%","43.1%","22.9%","0.77","-3.8","0.5%","-47.5",2019,"89.2","41.2%"
"600","Washington Nationals",".244",".314",".412",".726",".298","3.3%","24.6%","8.4%","25.2%","42.1%","24.5%","0.75","3.2","1.1%","43.4",2019,"89.1","39.6%"
"601","Arizona Diamondbacks",".253",".336",".462",".798",".295","4.1%","23.0%","10.3%","30.8%","38.8%","22.5%","0.64","-2.7","-1.7%","-14.1",2020,"89.0","39.7%"
"602","Atlanta Braves",".247",".329",".408",".737",".295","3.0%","22.2%","9.7%","27.2%","43.7%","20.2%","0.80","3.1","2.0%","11.3",2020,"87.0","34.3%"
"603","Baltimore Orioles",".246",".319",".421",".741",".283","3.5%","21.7%","8.6%","29.0%","42.8%","20.6%","0.76","-1.5","-1.3%","-5.3",2020,"89.1","39.9%"
"604","Boston Red Sox",".281",".365",".484",".849",".334","4.1%","22.5%","10.6%","30.0%","43.3%","20.3%","0.78","-5.4","-1.8%","-57.8",2020,"88.4","39.9%"
"605","Chicago Cubs",".233",".302",".400",".702",".279","3.4%","24.3%","8.5%","28.8%","45.2%","19.7%","0.83","6.9","3.8%","48.7",2020,"88.1","38.3%"
"606","Chicago White Sox",".226",".309",".379",".688",".271","3.2%","23.4%","9.7%","28.3%","44.3%","19.5%","0.81","3.4","2.1%","38.3",2020,"87.7","37.9%"
"607","Cincinnati Reds",".215",".303",".374",".677",".279","3.2%","28.9%","10.0%","25.9%","43.7%","21.5%","0.78","4.3","4.4%","42.9",2020,"87.3","36.7%"
"608","Cleveland Indians",".223",".288",".378",".666",".287","3.1%","28.5%","7.2%","29.4%","40.9%","21.9%","0.70","9.3","5.4%","81.5",2020,"87.3","35.3%"
"609","Colorado Rockies",".280",".353",".477",".830",".308","3.6%","16.8%","8.8%","30.5%","44.1%","18.9%","0.80","0.0","-0.3%","-46.5",2020,"88.9","40.9%"
"610","Detroit Tigers",".265",".340",".464",".804",".299","4.2%","20.4%","8.8%","29.5%","42.2%","21.9%","0.75","-3.9","-2.9%","-52.0",2020,"89.0","41.2%"
"611","Houston Astros",".239",".322",".407",".729",".289","3.1%","23.5%","9.7%","29.0%","44.1%","18.7%","0.80","1.1","2.3%","13.4",2020,"87.7","36.3%"
"612","Kansas City Royals",".254",".332",".415",".747",".304","3.4%","23.2%","9.5%","29.1%","44.2%","19.1%","0.80","2.1","0.2%","9.9",2020,"88.8","40.1%"
"613","Los Angeles Angels",".245",".316",".430",".746",".287","3.6%","23.2%","8.8%","28.5%","39.3%","22.9%","0.66","-3.1","-1.8%","-33.0",2020,"88.2","38.5%"
"614","Los Angeles Dodgers",".213",".272",".355",".627",".253","3.0%","23.8%","6.7%","25.6%","45.8%","21.1%","0.86","7.1","3.4%","85.0",2020,"87.2","33.0%"
"615","Miami Marlins",".261",".343",".455",".798",".298","3.7%","20.4%","10.2%","27.1%","45.4%","20.8%","0.84","3.0","2.9%","-28.3",2020,"88.4","39.7%"
"616","Milwaukee Brewers",".229",".307",".385",".692",".297","3.1%","28.1%","8.7%","26.2%","47.1%","17.8%","0.90","4.3","3.4%","24.7",2020,"86.5","34.6%"
"617","Minnesota Twins",".232",".301",".372",".673",".288","2.9%","25.1%","8.0%","29.3%","40.7%","19.6%","0.70","6.3","4.0%","60.5",2020,"87.2","35.5%"
"618","New York Mets",".255",".336",".438",".774",".317","3.6%","25.4%","9.7%","29.6%","42.6%","19.9%","0.76","-2.9","-2.4%","-32.2",2020,"87.3","37.8%"
"619","New York Yankees",".236",".305",".421",".726",".282","3.9%","24.8%","7.9%","26.8%","43.3%","21.7%","0.77","0.9","0.8%","-0.1",2020,"87.8","37.5%"
"620","Oakland Athletics",".240",".302",".392",".693",".286","3.2%","23.4%","7.6%","26.2%","41.0%","22.5%","0.71","6.5","3.6%","41.1",2020,"88.2","37.8%"
"621","Philadelphia Phillies",".279",".348",".468",".816",".344","3.6%","24.2%","8.4%","30.0%","46.3%","16.5%","0.87","-4.5","-4.5%","-37.9",2020,"87.7","39.1%"
"622","Pittsburgh Pirates",".235",".332",".416",".747",".281","3.6%","24.1%","11.2%","28.2%","43.3%","20.8%","0.78","-3.5","-0.9%","-14.6",2020,"88.0","38.3%"
"623","San Diego Padres",".234",".301",".389",".689",".290","3.2%","26.2%","7.9%","27.5%","42.6%","20.9%","0.76","1.7","0.5%","36.7",2020,"87.8","38.0%"
"624","Seattle Mariners",".245",".333",".425",".758",".281","3.5%","20.9%","10.2%","27.5%","40.5%","22.8%","0.68","-1.6","-2.4%","-31.1",2020,"89.1","38.9%"
"625","San Francisco Giants",".241",".322",".410",".731",".283","3.1%","21.8%","9.4%","29.7%","38.9%","22.5%","0.65","-2.0","-1.4%","-15.7",2020,"87.5","35.6%"
"626","St. Louis Cardinals",".216",".306",".380",".686",".252","3.5%","23.3%","10.3%","27.4%","44.7%","20.7%","0.82","3.3","3.8%","26.6",2020,"88.1","38.4%"
"627","Tampa Bay Rays",".238",".305",".391",".696",".293","3.2%","25.0%","7.6%","27.2%","45.3%","19.7%","0.85","7.4","2.6%","50.4",2020,"86.8","35.4%"
"628","Texas Rangers",".242",".329",".419",".749",".279","3.6%","21.5%","10.4%","27.6%","40.6%","22.8%","0.70","-3.6","-1.4%","-36.0",2020,"88.0","39.0%"
"629","Toronto Blue Jays",".255",".339",".436",".775",".303","3.5%","22.5%","10.8%","27.3%","43.1%","20.4%","0.77","1.0","1.0%","-23.6",2020,"87.7","37.1%"
"630","Washington Nationals",".271",".346",".466",".812",".317","4.1%","22.4%","9.5%","30.5%","38.4%","22.9%","0.63","-0.3","-0.6%","-22.8",2020,"88.8","39.4%"
"631","Arizona Diamondbacks",".267",".339",".468",".807",".303","3.7%","19.7%","8.9%","24.2%","39.8%","27.4%","0.68","-18.5","-2.1%","-162.5",2021,"88.2","39.6%"
"632","Atlanta Braves",".234",".308",".392",".700",".283","3.1%","23.8%","8.7%","24.1%","43.3%","24.5%","0.79","7.3","5.6%","85.9",2021,"87.8","38.7%"
"633","Baltimore Orioles",".273",".344",".473",".817",".306","4.1%","19.7%","9.0%","24.5%","39.8%","27.0%","0.67","-16.9","-0.2%","-217.5",2021,"89.5","41.4%"
"634","Boston Red Sox",".258",".332",".417",".749",".324","2.9%","24.8%","8.9%","23.4%","44.2%","24.3%","0.80","4.7","3.9%","27.1",2021,"88.1","39.6%"
"635","Chicago Cubs",".255",".338",".442",".780",".297","3.8%","21.9%","9.6%","24.0%","44.5%","24.2%","0.83","-6.2","2.6%","-110.8",2021,"87.7","39.4%"
"636","Chicago White Sox",".229",".298",".381",".679",".289","3.1%","27.1%","8.3%","23.1%","41.1%","26.7%","0.71","8.1","4.8%","107.0",2021,"88.3","38.8%"
"637","Cincinnati Reds",".244",".327",".417",".744",".300","3.3%","24.6%","10.0%","23.1%","43.8%","24.5%","0.80","6.4","3.1%","22.3",2021,"87.0","37.4%"
"638","Cleveland Indians",".240",".313",".417",".730",".283","3.6%","23.3%","8.8%","24.2%","42.5%","26.0%","0.75","3.2","1.1%","12.7",2021,"88.8","40.6%"
"639","Colorado Rockies",".260",".332",".435",".767",".304","3.2%","21.0%","8.9%","24.0%","44.3%","24.7%","0.82","-2.6","-1.8%","-23.3",2021,"88.0","38.1%"
"640","Detroit Tigers",".252",".329",".419",".748",".290","3.2%","20.4%","9.3%","22.6%","44.4%","25.5%","0.81","3.0","-0.5%","-13.5",2021,"89.1","40.9%"
"641","Houston Astros",".228",".306",".382",".688",".276","3.1%","24.0%","9.1%","22.6%","44.7%","25.1%","0.82","9.5","8.1%","109.1",2021,"88.3","38.0%"
"642","Kansas City Royals",".254",".332",".415",".747",".302","3.1%","21.9%","9.7%","24.8%","42.5%","25.4%","0.75","-3.2","-1.2%","-34.8",2021,"89.2","40.9%"
